YearMonth,CO_ppm,NO2_ppb,PM25_ugm3,Electric Vehicle (EV) Total,Percent Electric Vehicles,Year,Renewable_Share,Coal_Share,AWND,PRCP,TAVG,TMAX,TMIN
2023-08,0.4869565217391304,31.317241379310342,11.02258064516129,77766.0,5.57,2023,0.6839831962605762,0.04080626392915607,5.630322580645162,46.39,61.806267806267805,74.48448275862069,55.37586206896552
2023-09,0.4666666666666667,29.203333333333333,7.136666666666667,79949.0,5.72,2023,0.6839831962605762,0.04080626392915607,5.24,245.46,53.041666666666664,64.41,48.195
2023-10,0.5,23.83225806451613,7.693548387096774,82439.0,5.89,2023,0.6839831962605762,0.04080626392915607,4.933225806451613,205.76,47.48087431693989,56.45320197044335,43.307060755336614
2023-11,0.5142857142857143,25.768965517241377,9.623333333333331,84176.0,6.02,2023,0.6839831962605762,0.04080626392915607,4.722555555555556,386.02,38.13235294117647,45.84375,35.06086956521739
2023-12,0.5434782608695652,26.264285714285712,7.267741935483872,86108.0,6.15,2023,0.6839831962605762,0.04080626392915607,4.978709677419355,637.08,37.53779069767442,44.67627118644068,35.592529711375214
2024-01,0.4153846153846154,27.913636363636364,5.445161290322581,89127.0,6.35,2024,0.6924936806242444,0.028224879856927336,5.513118279569893,500.17,31.632022471910112,39.302828618968384,30.008319467554077
2024-02,,25.107407407407408,4.289655172413793,91442.0,6.53,2024,0.6924936806242444,0.028224879856927336,5.841494252873563,271.92,34.85043988269795,42.702317290552585,33.38502673796791
2024-03,0.2571428571428572,26.357142857142858,4.763333333333334,93047.0,6.64,2024,0.6924936806242444,0.028224879856927336,6.174193548387097,213.55,38.28169014084507,47.98996655518395,34.742904841402336
2024-04,0.2699999999999999,22.986666666666668,5.0233333333333325,95117.0,6.77,2024,0.6924936806242444,0.028224879856927336,6.179344262295082,194.45,41.54727793696275,51.34514925373134,36.626641651031896
2024-05,0.264516129032258,24.038709677419355,5.567741935483871,96942.0,6.91,2024,0.6924936806242444,0.028224879856927336,6.732150537634409,201.3,45.43131868131868,56.453448275862065,40.928695652173914
2024-06,0.2392857142857143,23.29310344827586,4.98,98149.0,6.99,2024,0.6924936806242444,0.028224879856927336,7.038777777777778,170.96,52.13905325443787,64.23396880415945,46.91840277777778
2024-07,0.2655172413793104,28.68076923076924,7.300000000000001,100660.0,7.15,2024,0.6924936806242444,0.028224879856927336,5.78247311827957,26.63,61.82967032967033,75.84717607973423,54.27545909849749
2024-08,0.2777777777777778,28.18076923076924,8.170967741935485,103208.0,7.33,2024,0.6924936806242444,0.028224879856927336,5.611868131868132,155.74,58.41621621621621,70.64239482200647,53.067961165048544
2024-09,0.31,27.527272727272727,8.553333333333335,105396.0,7.48,2024,0.6924936806242444,0.028224879856927336,4.702333333333333,71.17,55.75833333333333,66.51542649727767,50.595281306715066
2024-10,,26.079310344827583,7.84516129032258,107937.0,7.65,2024,0.6924936806242444,0.028224879856927336,5.808602150537635,248.91,46.08064516129032,55.02992957746479,41.75618374558304
2024-11,,24.43,7.736666666666666,109700.0,7.77,2024,0.6924936806242444,0.028224879856927336,5.850666666666667,396.0,36.907303370786515,43.98458904109589,35.66493955094992
2024-12,,25.006451612903227,7.848387096774194,111462.0,7.89,2024,0.6924936806242444,0.028224879856927336,6.080645161290323,444.54,36.48441926345609,43.31663685152057,34.43423423423423
